kalender,tahun,bulan,tgl,jumlah emiten
20190102,2019,01,02,622
20190103,2019,01,03,622
20190104,2019,01,04,622
20190107,2019,01,07,622
20190108,2019,01,08,623
20190109,2019,01,09,623
20190110,2019,01,10,625
20190111,2019,01,11,625
20190114,2019,01,14,625
20190115,2019,01,15,625
20190116,2019,01,16,625
20190117,2019,01,17,625
20190118,2019,01,18,627
20190121,2019,01,21,627
20190122,2019,01,22,627
20190123,2019,01,23,627
20190124,2019,01,24,627
20190125,2019,01,25,627
20190128,2019,01,28,627
20190129,2019,01,29,627
20190130,2019,01,30,627
20190131,2019,01,31,627
20190201,2019,02,01,627
20190204,2019,02,04,627
20190206,2019,02,06,627
20190207,2019,02,07,627
20190208,2019,02,08,627
20190211,2019,02,11,627
20190212,2019,02,12,627
20190213,2019,02,13,627
20190214,2019,02,14,627
20190215,2019,02,15,627
20190218,2019,02,18,627
20190219,2019,02,19,627
20190220,2019,02,20,627
20190221,2019,02,21,628
20190222,2019,02,22,628
20190225,2019,02,25,628
20190226,2019,02,26,628
20190227,2019,02,27,628
20190228,2019,02,28,628
20190301,2019,03,01,628
20190304,2019,03,04,628
20190305,2019,03,05,628
20190306,2019,03,06,628
20190308,2019,03,08,628
20190311,2019,03,11,628
20190312,2019,03,12,628
20190313,2019,03,13,628
20190314,2019,03,14,628
20190315,2019,03,15,628
20190318,2019,03,18,628
20190319,2019,03,19,628
20190320,2019,03,20,629
20190321,2019,03,21,629
20190322,2019,03,22,629
20190325,2019,03,25,629
20190326,2019,03,26,629
20190327,2019,03,27,629
20190328,2019,03,28,629
20190329,2019,03,29,629
20190401,2019,04,01,629
20190402,2019,04,02,629
20190404,2019,04,04,629
20190405,2019,04,05,629
20190408,2019,04,08,629
20190409,2019,04,09,629
20190410,2019,04,10,630
20190411,2019,04,11,631
20190412,2019,04,12,632
20190415,2019,04,15,632
20190416,2019,04,16,632
20190418,2019,04,18,632
20190422,2019,04,22,632
20190423,2019,04,23,632
20190424,2019,04,24,632
20190425,2019,04,25,632
20190426,2019,04,26,632
20190429,2019,04,29,632
20190430,2019,04,30,632
20190502,2019,05,02,631
20190503,2019,05,03,631
20190506,2019,05,06,631
20190507,2019,05,07,631
20190508,2019,05,08,631
20190509,2019,05,09,631
20190510,2019,05,10,632
20190513,2019,05,13,632
20190514,2019,05,14,632
20190515,2019,05,15,632
20190516,2019,05,16,633
20190517,2019,05,17,633
20190520,2019,05,20,633
20190521,2019,05,21,633
20190522,2019,05,22,633
20190523,2019,05,23,633
20190524,2019,05,24,633
20190527,2019,05,27,633
20190528,2019,05,28,633
20190529,2019,05,29,633
20190531,2019,05,31,633
20190610,2019,06,10,633
20190611,2019,06,11,634
20190612,2019,06,12,634
20190613,2019,06,13,634
20190614,2019,06,14,634
20190617,2019,06,17,634
20190618,2019,06,18,635
20190619,2019,06,19,636
20190620,2019,06,20,636
20190621,2019,06,21,636
20190624,2019,06,24,636
