kalender,tahun,bulan,tgl,jumlah emiten
20190625,2019,06,25,636
20190626,2019,06,26,637
20190627,2019,06,27,637
20190628,2019,06,28,637
20190701,2019,07,01,638
20190702,2019,07,02,638
20190703,2019,07,03,638
20190704,2019,07,04,640
20190705,2019,07,05,641
20190708,2019,07,08,644
20190709,2019,07,09,648
20190710,2019,07,10,650
20190711,2019,07,11,651
20190712,2019,07,12,652
20190715,2019,07,15,652
20190716,2019,07,16,652
20190717,2019,07,17,652
20190718,2019,07,18,652
20190719,2019,07,19,652
20190722,2019,07,22,652
20190723,2019,07,23,652
20190724,2019,07,24,652
20190725,2019,07,25,652
20190726,2019,07,26,652
20190729,2019,07,29,652
20190730,2019,07,30,652
20190731,2019,07,31,652
20190801,2019,08,01,652
20190802,2019,08,02,652
20190805,2019,08,05,652
20190806,2019,08,06,652
20190807,2019,08,07,652
20190808,2019,08,08,652
20190809,2019,08,09,652
20190812,2019,08,12,652
20190813,2019,08,13,651
20190814,2019,08,14,651
20190815,2019,08,15,651
20190816,2019,08,16,651
20190819,2019,08,19,651
20190820,2019,08,20,651
20190821,2019,08,21,651
20190822,2019,08,22,651
20190823,2019,08,23,650
20190826,2019,08,26,650
20190827,2019,08,27,650
20190828,2019,08,28,650
20190829,2019,08,29,650
20190830,2019,08,30,650
20190902,2019,09,02,651
20190903,2019,09,03,651
20190904,2019,09,04,651
20190905,2019,09,05,651
20190906,2019,09,06,651
20190909,2019,09,09,651
20190910,2019,09,10,651
20190911,2019,09,11,651
20190912,2019,09,12,651
20190913,2019,09,13,651
20190916,2019,09,16,652
20190917,2019,09,17,653
20190918,2019,09,18,653
20190919,2019,09,19,654
20190920,2019,09,20,654
20190923,2019,09,23,655
20190924,2019,09,24,655
20190925,2019,09,25,656
20190926,2019,09,26,656
20190927,2019,09,27,656
20190930,2019,09,30,655
20191001,2019,10,01,655
20191002,2019,10,02,655
20191003,2019,10,03,655
20191004,2019,10,04,655
20191007,2019,10,07,656
20191008,2019,10,08,656
20191009,2019,10,09,657
20191010,2019,10,10,657
20191011,2019,10,11,657
20191014,2019,10,14,657
20191015,2019,10,15,658
20191016,2019,10,16,658
20191017,2019,10,17,658
20191018,2019,10,18,658
20191021,2019,10,21,659
20191022,2019,10,22,659
20191023,2019,10,23,659
20191024,2019,10,24,659
20191025,2019,10,25,659
20191028,2019,10,28,659
20191029,2019,10,29,659
20191030,2019,10,30,659
20191031,2019,10,31,659
20191101,2019,11,01,659
20191104,2019,11,04,659
20191105,2019,11,05,659
20191106,2019,11,06,659
20191107,2019,11,07,659
20191108,2019,11,08,661
20191111,2019,11,11,660
20191112,2019,11,12,660
20191113,2019,11,13,660
20191114,2019,11,14,661
20191115,2019,11,15,661
20191118,2019,11,18,662
20191119,2019,11,19,662
20191120,2019,11,20,662
20191121,2019,11,21,662
20191122,2019,11,22,662
20191125,2019,11,25,664
20191126,2019,11,26,664
20191127,2019,11,27,664
20191128,2019,11,28,664
20191129,2019,11,29,664
20191202,2019,12,02,665
20191203,2019,12,03,665
20191204,2019,12,04,665
20191205,2019,12,05,666
20191206,2019,12,06,667
20191209,2019,12,09,667
20191210,2019,12,10,668
20191211,2019,12,11,668
20191212,2019,12,12,668
20191213,2019,12,13,668
20191216,2019,12,16,668
20191217,2019,12,17,668
20191218,2019,12,18,669
20191219,2019,12,19,669
20191220,2019,12,20,670
20191223,2019,12,23,671
20191226,2019,12,26,671
20191227,2019,12,27,671
20191230,2019,12,30,671
20200102,2020,01,02,671
20200103,2020,01,03,671
20200106,2020,01,06,671
20200107,2020,01,07,671
20200108,2020,01,08,672
20200109,2020,01,09,674
20200110,2020,01,10,674
20200113,2020,01,13,675
20200114,2020,01,14,676
20200115,2020,01,15,677
20200116,2020,01,16,677
20200117,2020,01,17,677
20200120,2020,01,20,676
20200121,2020,01,21,676
20200122,2020,01,22,677
20200123,2020,01,23,676
20200124,2020,01,24,676
20200127,2020,01,27,676
20200128,2020,01,28,676
20200129,2020,01,29,677
20200130,2020,01,30,677
20200131,2020,01,31,677
20200203,2020,02,03,677
20200204,2020,02,04,677
20200205,2020,02,05,677
20200206,2020,02,06,677
20200207,2020,02,07,678
20200210,2020,02,10,679
20200211,2020,02,11,679
20200212,2020,02,12,681
20200213,2020,02,13,681
20200214,2020,02,14,682
20200217,2020,02,17,683
20200218,2020,02,18,683
20200219,2020,02,19,683
20200220,2020,02,20,683
20200221,2020,02,21,683
20200224,2020,02,24,683
20200225,2020,02,25,683
20200226,2020,02,26,683
20200227,2020,02,27,683
20200228,2020,02,28,683
20200302,2020,03,02,683
20200303,2020,03,03,683
20200304,2020,03,04,683
20200305,2020,03,05,683
20200306,2020,03,06,683
20200309,2020,03,09,685
20200310,2020,03,10,685
20200311,2020,03,11,685
20200312,2020,03,12,685
20200313,2020,03,13,687
20200316,2020,03,16,687
20200317,2020,03,17,687
20200318,2020,03,18,687
20200319,2020,03,19,687
20200320,2020,03,20,687
20200323,2020,03,23,687
20200324,2020,03,24,687
20200326,2020,03,26,687
20200327,2020,03,27,687
20200330,2020,03,30,687
20200331,2020,03,31,688
20200401,2020,04,01,688
20200402,2020,04,02,688
20200403,2020,04,03,688
20200406,2020,04,06,687
20200407,2020,04,07,687
20200408,2020,04,08,689
20200409,2020,04,09,692
20200413,2020,04,13,692
20200414,2020,04,14,692
20200415,2020,04,15,694
20200416,2020,04,16,694
20200417,2020,04,17,694
20200420,2020,04,20,693
20200421,2020,04,21,693
20200422,2020,04,22,693
20200423,2020,04,23,693
20200424,2020,04,24,693
20200427,2020,04,27,693
20200428,2020,04,28,693
20200429,2020,04,29,693
20200430,2020,04,30,693
20200504,2020,05,04,694
20200505,2020,05,05,694
20200506,2020,05,06,694
20200508,2020,05,08,694
20200511,2020,05,11,694
20200512,2020,05,12,694
20200513,2020,05,13,694
20200514,2020,05,14,694
20200515,2020,05,15,694
20200518,2020,05,18,694
20200519,2020,05,19,694
20200520,2020,05,20,694
20200526,2020,05,26,694
20200527,2020,05,27,694
20200528,2020,05,28,694
20200529,2020,05,29,694
20200602,2020,06,02,694
20200603,2020,06,03,694
20200604,2020,06,04,695
20200605,2020,06,05,695
20200608,2020,06,08,695
20200609,2020,06,09,695
20200610,2020,06,10,695
20200611,2020,06,11,695
20200612,2020,06,12,695
20200615,2020,06,15,695
20200616,2020,06,16,695
20200617,2020,06,17,695
20200618,2020,06,18,695
20200619,2020,06,19,695
20200622,2020,06,22,695
20200623,2020,06,23,695
20200624,2020,06,24,695
20200625,2020,06,25,695
20200626,2020,06,26,695
20200629,2020,06,29,695
20200630,2020,06,30,695
20200701,2020,07,01,696
20200702,2020,07,02,696
20200703,2020,07,03,696
20200706,2020,07,06,697
20200707,2020,07,07,699
20200708,2020,07,08,699
20200709,2020,07,09,699
20200710,2020,07,10,699
20200713,2020,07,13,699
20200714,2020,07,14,699
20200715,2020,07,15,699
20200716,2020,07,16,699
20200717,2020,07,17,699
20200720,2020,07,20,700
20200721,2020,07,21,700
20200722,2020,07,22,700
20200723,2020,07,23,700
20200724,2020,07,24,700
20200727,2020,07,27,700
20200728,2020,07,28,700
20200729,2020,07,29,700
20200730,2020,07,30,700
20200803,2020,08,03,700
20200804,2020,08,04,700
20200805,2020,08,05,700
20200806,2020,08,06,701
20200807,2020,08,07,701
20200810,2020,08,10,702
20200811,2020,08,11,702
20200812,2020,08,12,702
20200813,2020,08,13,702
20200814,2020,08,14,702
20200818,2020,08,18,702
20200819,2020,08,19,702
20200824,2020,08,24,702
20200825,2020,08,25,702
20200826,2020,08,26,702
20200827,2020,08,27,703
20200828,2020,08,28,702
20200831,2020,08,31,703
20200901,2020,09,01,703
20200902,2020,09,02,703
20200903,2020,09,03,703
20200904,2020,09,04,703
20200907,2020,09,07,706
20200908,2020,09,08,708
20200909,2020,09,09,708
20200910,2020,09,10,710
20200911,2020,09,11,710
20200914,2020,09,14,711
20200915,2020,09,15,712
20200916,2020,09,16,712
20200917,2020,09,17,712
20200918,2020,09,18,712
20200921,2020,09,21,712
20200922,2020,09,22,712
20200923,2020,09,23,712
20200924,2020,09,24,712
20200925,2020,09,25,712
20200928,2020,09,28,712
20200929,2020,09,29,712
20200930,2020,09,30,712
20201001,2020,10,01,712
20201002,2020,10,02,712
20201005,2020,10,05,712
20201006,2020,10,06,712
20201007,2020,10,07,712
20201008,2020,10,08,712
20201009,2020,10,09,712
20201012,2020,10,12,712
20201013,2020,10,13,712
20201014,2020,10,14,712
20201015,2020,10,15,712
20201016,2020,10,16,712
20201019,2020,10,19,712
20201020,2020,10,20,712
20201021,2020,10,21,712
20201022,2020,10,22,712
20201023,2020,10,23,712
20201026,2020,10,26,712
20201027,2020,10,27,712
20201102,2020,11,02,712
20201103,2020,11,03,712
20201104,2020,11,04,712
20201105,2020,11,05,712
20201106,2020,11,06,712
20201109,2020,11,09,712
20201110,2020,11,10,712
20201111,2020,11,11,712
20201112,2020,11,12,712
20201113,2020,11,13,712
20201116,2020,11,16,712
20201117,2020,11,17,712
20201118,2020,11,18,712
20201119,2020,11,19,712
20201120,2020,11,20,712
20201123,2020,11,23,711
20201124,2020,11,24,711
20201125,2020,11,25,711
20201126,2020,11,26,711
20201127,2020,11,27,711
20201130,2020,11,30,711
20201201,2020,12,01,711
20201202,2020,12,02,711
20201203,2020,12,03,711
20201204,2020,12,04,711
20201207,2020,12,07,711
20201208,2020,12,08,712
20201210,2020,12,10,712
20201211,2020,12,11,713
20201214,2020,12,14,713
20201215,2020,12,15,713
20201216,2020,12,16,713
20201217,2020,12,17,714
20201218,2020,12,18,715
20201221,2020,12,21,715
20201222,2020,12,22,715
20201223,2020,12,23,715
20201228,2020,12,28,715
20201229,2020,12,29,715
20201230,2020,12,30,716
20210104,2021,01,04,717
20210105,2021,01,05,717
20210106,2021,01,06,718
20210107,2021,01,07,718
20210108,2021,01,08,718
20210111,2021,01,11,718
20210112,2021,01,12,718
20210113,2021,01,13,718
20210114,2021,01,14,718
20210115,2021,01,15,719
20210118,2021,01,18,719
20210119,2021,01,19,719
20210120,2021,01,20,719
20210121,2021,01,21,719
20210122,2021,01,22,719
20210125,2021,01,25,719
20210126,2021,01,26,719
20210127,2021,01,27,719
20210128,2021,01,28,719
20210129,2021,01,29,719
20210201,2021,02,01,721
20210202,2021,02,02,722
20210203,2021,02,03,722
20210204,2021,02,04,722
20210205,2021,02,05,722
20210208,2021,02,08,723
20210209,2021,02,09,723
20210210,2021,02,10,723
20210211,2021,02,11,723
20210215,2021,02,15,723
20210216,2021,02,16,723
20210217,2021,02,17,723
20210218,2021,02,18,723
20210219,2021,02,19,723
20210222,2021,02,22,723
20210223,2021,02,23,723
20210224,2021,02,24,723
20210225,2021,02,25,723
20210226,2021,02,26,723
20210301,2021,03,01,723
20210302,2021,03,02,723
20210303,2021,03,03,723
20210304,2021,03,04,723
20210305,2021,03,05,723
20210308,2021,03,08,724
20210309,2021,03,09,724
20210310,2021,03,10,725
20210312,2021,03,12,725
20210315,2021,03,15,725
20210316,2021,03,16,725
20210317,2021,03,17,725
20210318,2021,03,18,725
20210319,2021,03,19,725
20210322,2021,03,22,725
20210323,2021,03,23,725
20210324,2021,03,24,725
20210325,2021,03,25,725
20210326,2021,03,26,725
20210329,2021,03,29,726
20210330,2021,03,30,727
20210331,2021,03,31,727
20210401,2021,04,01,727
20210405,2021,04,05,727
20210406,2021,04,06,727
20210407,2021,04,07,728
20210408,2021,04,08,728
20210409,2021,04,09,729
20210412,2021,04,12,730
20210413,2021,04,13,730
20210414,2021,04,14,731
20210415,2021,04,15,731
20210416,2021,04,16,731
20210419,2021,04,19,731
20210420,2021,04,20,731
20210421,2021,04,21,731
20210422,2021,04,22,731
20210423,2021,04,23,731
20210426,2021,04,26,731
20210427,2021,04,27,731
20210428,2021,04,28,731
20210429,2021,04,29,731
20210430,2021,04,30,731
20210503,2021,05,03,731
20210504,2021,05,04,731
20210505,2021,05,05,731
20210506,2021,05,06,731
20210507,2021,05,07,731
20210510,2021,05,10,731
20210511,2021,05,11,731
20210517,2021,05,17,731
20210518,2021,05,18,731
20210519,2021,05,19,731
20210520,2021,05,20,731
20210521,2021,05,21,731
20210524,2021,05,24,732
20210525,2021,05,25,732
20210527,2021,05,27,732
20210528,2021,05,28,732
20210531,2021,05,31,732
20210602,2021,06,02,732
20210603,2021,06,03,732
20210604,2021,06,04,732
20210607,2021,06,07,732
20210608,2021,06,08,733
20210609,2021,06,09,733
20210610,2021,06,10,735
20210611,2021,06,11,735
20210614,2021,06,14,735
20210615,2021,06,15,735
20210616,2021,06,16,735
20210617,2021,06,17,735
20210618,2021,06,18,735
20210621,2021,06,21,735
20210622,2021,06,22,735
20210623,2021,06,23,735
20210624,2021,06,24,735
20210625,2021,06,25,735
20210628,2021,06,28,736
20210629,2021,06,29,736
20210630,2021,06,30,738
20210701,2021,07,01,738
20210702,2021,07,02,738
20210705,2021,07,05,738
20210706,2021,07,06,739
20210707,2021,07,07,739
20210708,2021,07,08,740
20210709,2021,07,09,741
20210712,2021,07,12,741
20210713,2021,07,13,741
20210714,2021,07,14,741
20210715,2021,07,15,741
20210716,2021,07,16,741
20210719,2021,07,19,741
20210721,2021,07,21,741
20210722,2021,07,22,741
20210723,2021,07,23,741
20210726,2021,07,26,741
20210727,2021,07,27,742
20210728,2021,07,28,742
20210729,2021,07,29,742
20210730,2021,07,30,742
20210802,2021,08,02,742
20210803,2021,08,03,742
20210804,2021,08,04,742
20210805,2021,08,05,742
20210806,2021,08,06,743
20210809,2021,08,09,743
20210810,2021,08,10,743
20210812,2021,08,12,743
20210813,2021,08,13,743
20210816,2021,08,16,743
20210818,2021,08,18,743
20210819,2021,08,19,743
20210820,2021,08,20,743
20210823,2021,08,23,743
20210824,2021,08,24,743
20210825,2021,08,25,743
20210826,2021,08,26,743
20210827,2021,08,27,743
20210830,2021,08,30,743
20210831,2021,08,31,743
20210901,2021,09,01,744
20210902,2021,09,02,744
20210903,2021,09,03,744
20210906,2021,09,06,746
20210907,2021,09,07,747
20210908,2021,09,08,752
20210909,2021,09,09,753
20210910,2021,09,10,753
20210913,2021,09,13,753
20210914,2021,09,14,753
20210915,2021,09,15,753
20210916,2021,09,16,753
20210917,2021,09,17,753
20210920,2021,09,20,753
20210921,2021,09,21,753
20210922,2021,09,22,753
20210923,2021,09,23,753
20210924,2021,09,24,753
20210927,2021,09,27,753
20210928,2021,09,28,753
20210929,2021,09,29,753
20210930,2021,09,30,753
20211001,2021,10,01,753
20211004,2021,10,04,753
20211005,2021,10,05,753
20211006,2021,10,06,753
20211007,2021,10,07,753
20211008,2021,10,08,753
20211011,2021,10,11,753
20211012,2021,10,12,753
20211013,2021,10,13,753
20211014,2021,10,14,753
20211015,2021,10,15,753
20211018,2021,10,18,753
20211019,2021,10,19,753
20211021,2021,10,21,753
20211022,2021,10,22,753
20211025,2021,10,25,754
20211026,2021,10,26,754
20211027,2021,10,27,754
20211028,2021,10,28,754
20211029,2021,10,29,754
20211101,2021,11,01,755
20211102,2021,11,02,755
20211103,2021,11,03,755
20211104,2021,11,04,755
20211105,2021,11,05,755
20211108,2021,11,08,755
20211109,2021,11,09,755
20211110,2021,11,10,755
20211111,2021,11,11,755
20211112,2021,11,12,755
20211115,2021,11,15,755
20211116,2021,11,16,755
20211117,2021,11,17,755
20211118,2021,11,18,755
20211119,2021,11,19,755
20211122,2021,11,22,756
20211123,2021,11,23,756
20211124,2021,11,24,756
20211125,2021,11,25,758
20211126,2021,11,26,758
20211129,2021,11,29,758
20211130,2021,11,30,758
20211201,2021,12,01,758
20211202,2021,12,02,758
20211203,2021,12,03,758
20211206,2021,12,06,762
20211207,2021,12,07,763
20211208,2021,12,08,765
20211209,2021,12,09,766
20211210,2021,12,10,766
20211213,2021,12,13,767
20211214,2021,12,14,767
20211215,2021,12,15,767
20211216,2021,12,16,768
20211217,2021,12,17,768
20211220,2021,12,20,769
20211221,2021,12,21,769
20211222,2021,12,22,769
20211223,2021,12,23,769
20211224,2021,12,24,769
20211227,2021,12,27,769
20211228,2021,12,28,769
20211229,2021,12,29,769
20211230,2021,12,30,769
20220103,2022,01,03,770
20220104,2022,01,04,770
20220105,2022,01,05,770
20220106,2022,01,06,770
20220107,2022,01,07,770
20220110,2022,01,10,771
20220111,2022,01,11,771
20220112,2022,01,12,771
20220113,2022,01,13,771
20220114,2022,01,14,771
20220117,2022,01,17,771
20220118,2022,01,18,771
20220119,2022,01,19,771
20220120,2022,01,20,771
20220121,2022,01,21,771
20220124,2022,01,24,771
20220125,2022,01,25,772
20220126,2022,01,26,773
20220127,2022,01,27,773
20220128,2022,01,28,774
20220131,2022,01,31,774
20220202,2022,02,02,774
20220203,2022,02,03,774
20220204,2022,02,04,774
20220207,2022,02,07,774
20220208,2022,02,08,775
20220209,2022,02,09,776
20220210,2022,02,10,776
20220211,2022,02,11,776
20220214,2022,02,14,776
20220215,2022,02,15,776
20220216,2022,02,16,776
20220217,2022,02,17,776
20220218,2022,02,18,776
20220221,2022,02,21,776
20220222,2022,02,22,776
20220223,2022,02,23,777
20220224,2022,02,24,777
20220225,2022,02,25,777
20220301,2022,03,01,777
20220302,2022,03,02,777
20220304,2022,03,04,777
20220307,2022,03,07,777
20220308,2022,03,08,777
20220309,2022,03,09,778
20220310,2022,03,10,780
20220311,2022,03,11,780
20220314,2022,03,14,780
20220315,2022,03,15,780
20220316,2022,03,16,780
20220317,2022,03,17,780
20220318,2022,03,18,780
20220321,2022,03,21,781
20220322,2022,03,22,781
20220323,2022,03,23,781
20220324,2022,03,24,781
20220325,2022,03,25,781
20220328,2022,03,28,781
20220329,2022,03,29,781
20220330,2022,03,30,781
20220331,2022,03,31,781
20220401,2022,04,01,781
20220404,2022,04,04,782
20220405,2022,04,05,782
20220406,2022,04,06,782
20220407,2022,04,07,782
20220408,2022,04,08,783
20220411,2022,04,11,784
20220412,2022,04,12,785
20220413,2022,04,13,785
20220414,2022,04,14,785
20220418,2022,04,18,785
20220419,2022,04,19,785
20220420,2022,04,20,786
20220421,2022,04,21,786
20220422,2022,04,22,786
20220425,2022,04,25,788
20220426,2022,04,26,788
20220427,2022,04,27,788
20220428,2022,04,28,788
20220509,2022,05,09,788
20220510,2022,05,10,788
20220511,2022,05,11,788
20220512,2022,05,12,788
20220513,2022,05,13,788
20220517,2022,05,17,789
20220518,2022,05,18,789
20220519,2022,05,19,789
20220520,2022,05,20,789
20220523,2022,05,23,789
20220524,2022,05,24,789
20220525,2022,05,25,789
20220527,2022,05,27,790
20220530,2022,05,30,790
20220531,2022,05,31,790
20220602,2022,06,02,790
20220603,2022,06,03,790
20220606,2022,06,06,790
20220607,2022,06,07,790
20220608,2022,06,08,790
20220609,2022,06,09,790
20220610,2022,06,10,790
20220613,2022,06,13,790
20220614,2022,06,14,790
20220615,2022,06,15,790
20220616,2022,06,16,790
20220617,2022,06,17,790
20220620,2022,06,20,790
20220621,2022,06,21,790
20220622,2022,06,22,790
20220623,2022,06,23,790
20220624,2022,06,24,790
20220627,2022,06,27,790
20220628,2022,06,28,790
20220629,2022,06,29,790
20220630,2022,06,30,790
20220701,2022,07,01,790
20220704,2022,07,04,790
20220705,2022,07,05,790
20220706,2022,07,06,790
20220707,2022,07,07,791
20220708,2022,07,08,794
20220711,2022,07,11,794
20220712,2022,07,12,794
20220713,2022,07,13,794
20220714,2022,07,14,794
20220715,2022,07,15,794
20220718,2022,07,18,795
20220719,2022,07,19,795
20220720,2022,07,20,796
20220721,2022,07,21,796
20220722,2022,07,22,796
20220725,2022,07,25,797
20220726,2022,07,26,798
20220727,2022,07,27,798
20220728,2022,07,28,798
20220729,2022,07,29,798
20220801,2022,08,01,798
20220802,2022,08,02,799
20220803,2022,08,03,800
20220804,2022,08,04,802
20220805,2022,08,05,803
20220808,2022,08,08,807
20220809,2022,08,09,810
20220810,2022,08,10,812
20220811,2022,08,11,812
20220812,2022,08,12,812
20220815,2022,08,15,812
20220816,2022,08,16,812
20220818,2022,08,18,812
20220819,2022,08,19,812
20220822,2022,08,22,812
20220823,2022,08,23,812
20220824,2022,08,24,812
20220825,2022,08,25,812
20220826,2022,08,26,812
20220829,2022,08,29,812
20220830,2022,08,30,812
20220831,2022,08,31,812
20220901,2022,09,01,812
20220902,2022,09,02,812
20220905,2022,09,05,812
20220906,2022,09,06,812
20220907,2022,09,07,813
20220908,2022,09,08,813
20220909,2022,09,09,813
20220912,2022,09,12,813
20220913,2022,09,13,813
20220914,2022,09,14,813
20220915,2022,09,15,813
20220916,2022,09,16,813
20220919,2022,09,19,813
20220920,2022,09,20,813
20220921,2022,09,21,813
20220922,2022,09,22,813
20220923,2022,09,23,813
20220926,2022,09,26,813
20220927,2022,09,27,813
20220928,2022,09,28,813
20220929,2022,09,29,813
20220930,2022,09,30,813
20221003,2022,10,03,813
20221004,2022,10,04,813
20221005,2022,10,05,813
20221006,2022,10,06,813
20221007,2022,10,07,813
20221010,2022,10,10,813
20221011,2022,10,11,813
20221012,2022,10,12,813
20221013,2022,10,13,813
20221014,2022,10,14,813
20221017,2022,10,17,813
20221018,2022,10,18,813
20221019,2022,10,19,813
20221020,2022,10,20,813
20221021,2022,10,21,813
20221024,2022,10,24,813
20221025,2022,10,25,813
20221026,2022,10,26,813
20221027,2022,10,27,813
20221028,2022,10,28,813
20221031,2022,10,31,813
20221101,2022,11,01,813
20221102,2022,11,02,813
20221103,2022,11,03,813
20221104,2022,11,04,813
20221107,2022,11,07,813
20221108,2022,11,08,819
20221109,2022,11,09,821
20221110,2022,11,10,823
20221111,2022,11,11,823
20221114,2022,11,14,823
20221115,2022,11,15,823
20221116,2022,11,16,823
20221117,2022,11,17,823
20221118,2022,11,18,823
20221121,2022,11,21,823
20221122,2022,11,22,823
20221123,2022,11,23,823
20221124,2022,11,24,823
20221125,2022,11,25,823
20221128,2022,11,28,823
20221129,2022,11,29,823
20221130,2022,11,30,823
20221201,2022,12,01,823
20221202,2022,12,02,823
20221205,2022,12,05,824
20221206,2022,12,06,825
20221207,2022,12,07,825
20221208,2022,12,08,826
20221209,2022,12,09,827
20221212,2022,12,12,827
20221213,2022,12,13,827
20221214,2022,12,14,827
20221215,2022,12,15,828
20221216,2022,12,16,828
20221219,2022,12,19,828
20221220,2022,12,20,828
20221221,2022,12,21,828
20221222,2022,12,22,828
20221223,2022,12,23,828
20221226,2022,12,26,828
20221227,2022,12,27,828
20221228,2022,12,28,828
20221229,2022,12,29,828
20221230,2022,12,30,828
20230102,2023,01,02,828
20230103,2023,01,03,828
20230104,2023,01,04,828
20230105,2023,01,05,828
20230106,2023,01,06,832
20230109,2023,01,09,834
20230110,2023,01,10,835
20230111,2023,01,11,836
20230112,2023,01,12,836
20230113,2023,01,13,836
20230116,2023,01,16,836
20230117,2023,01,17,836
20230118,2023,01,18,836
20230119,2023,01,19,836
20230120,2023,01,20,836
20230124,2023,01,24,837
20230125,2023,01,25,837
20230126,2023,01,26,837
20230127,2023,01,27,838
20230130,2023,01,30,838
20230131,2023,01,31,838
20230201,2023,02,01,839
20230202,2023,02,02,839
20230203,2023,02,03,839
20230206,2023,02,06,840
20230207,2023,02,07,841
20230208,2023,02,08,845
20230209,2023,02,09,845
20230210,2023,02,10,845
20230213,2023,02,13,845
20230214,2023,02,14,845
20230215,2023,02,15,845
20230216,2023,02,16,846
20230217,2023,02,17,846
20230220,2023,02,20,846
20230221,2023,02,21,846
20230222,2023,02,22,846
20230223,2023,02,23,846
20230224,2023,02,24,847
20230227,2023,02,27,848
20230228,2023,02,28,848
20230301,2023,03,01,849
20230302,2023,03,02,849
20230303,2023,03,03,850
20230306,2023,03,06,851
20230307,2023,03,07,851
20230308,2023,03,08,854
20230309,2023,03,09,854
20230310,2023,03,10,855
20230313,2023,03,13,855
20230314,2023,03,14,855
20230315,2023,03,15,855
20230316,2023,03,16,855
20230317,2023,03,17,855
20230320,2023,03,20,855
20230321,2023,03,21,855
20230324,2023,03,24,855
20230327,2023,03,27,855
20230328,2023,03,28,855
20230329,2023,03,29,855
20230330,2023,03,30,856
20230331,2023,03,31,856
20230403,2023,04,03,856
20230404,2023,04,04,856
20230405,2023,04,05,857
20230406,2023,04,06,856
20230410,2023,04,10,857
20230411,2023,04,11,857
20230412,2023,04,12,858
20230413,2023,04,13,858
20230414,2023,04,14,858
20230417,2023,04,17,858
20230418,2023,04,18,861
20230426,2023,04,26,861
20230427,2023,04,27,861
20230428,2023,04,28,861
20230502,2023,05,02,861
20230503,2023,05,03,861
20230504,2023,05,04,861
20230505,2023,05,05,861
20230508,2023,05,08,865
20230509,2023,05,09,866
20230510,2023,05,10,866
20230511,2023,05,11,866
20230512,2023,05,12,867
20230515,2023,05,15,867
20230516,2023,05,16,867
20230517,2023,05,17,867
20230519,2023,05,19,867
20230522,2023,05,22,867
20230523,2023,05,23,867
20230524,2023,05,24,867
20230525,2023,05,25,867
